Meeting_ID,Committee_Name,Meeting_Date,Meeting_Time,Entry_ID,Zip_Code,Registration_Time,Agenda_Item,Agenda_Item_Title,Support,Speaking,OBJECTID
43396,Common Council,6/16/2020,06:30:00,96012,53703,6/16/2020 15:00,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3171
43396,Common Council,6/16/2020,06:30:00,96005,53716,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3172
43396,Common Council,6/16/2020,06:30:00,96006,53703,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3173
43396,Common Council,6/16/2020,06:30:00,96007,53703,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3174
43396,Common Council,6/16/2020,06:30:00,96008,53719,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3175
43396,Common Council,6/16/2020,06:30:00,95998,53704,6/16/2020 14:58,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3176
43396,Common Council,6/16/2020,06:30:00,95999,53711,6/16/2020 14:58,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3177
43396,Common Council,6/16/2020,06:30:00,96000,53719,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"I do not want to speak, but I am available to answer questions.",3178
43396,Common Council,6/16/2020,06:30:00,96001,53703,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3179
43396,Common Council,6/16/2020,06:30:00,96002,53705,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3180
43396,Common Council,6/16/2020,06:30:00,96003,53703,6/16/2020 14:59,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3181
43396,Common Council,6/16/2020,06:30:00,96034,53716,6/16/2020 15:03,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3182
43396,Common Council,6/16/2020,06:30:00,96035,53703,6/16/2020 15:03,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3183
43396,Common Council,6/16/2020,06:30:00,96028,53703,6/16/2020 15:02,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3184
43396,Common Council,6/16/2020,06:30:00,96029,53597,6/16/2020 15:02,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"I do not want to speak, but I am available to answer questions.",3185
43396,Common Council,6/16/2020,06:30:00,96031,53716,6/16/2020 15:02,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3186
43396,Common Council,6/16/2020,06:30:00,96032,53703,6/16/2020 15:03,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3187
43396,Common Council,6/16/2020,06:30:00,96021,53704,6/16/2020 15:01,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3188
43396,Common Council,6/16/2020,06:30:00,96023,53719,6/16/2020 15:01,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3189
43396,Common Council,6/16/2020,06:30:00,96026,53703,6/16/2020 15:02,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3190
43396,Common Council,6/16/2020,06:30:00,96047,53711,6/16/2020 15:05,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3191
43396,Common Council,6/16/2020,06:30:00,96048,53548,6/16/2020 15:05,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3192
43396,Common Council,6/16/2020,06:30:00,96051,53703,6/16/2020 15:06,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3193
43396,Common Council,6/16/2020,06:30:00,96052,33919,6/16/2020 15:06,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3194
43396,Common Council,6/16/2020,06:30:00,96053,53703,6/16/2020 15:06,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3195
43396,Common Council,6/16/2020,06:30:00,96054,53704,6/16/2020 15:06,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3196
43396,Common Council,6/16/2020,06:30:00,96040,53703,6/16/2020 15:04,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3197
43396,Common Council,6/16/2020,06:30:00,96041,53719,6/16/2020 15:04,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3198
43396,Common Council,6/16/2020,06:30:00,96042,53704,6/16/2020 15:04,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3199
43396,Common Council,6/16/2020,06:30:00,96045,53703,6/16/2020 15:05,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3200
43396,Common Council,6/16/2020,06:30:00,96069,53703,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3201
43396,Common Council,6/16/2020,06:30:00,96070,53711,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3202
43396,Common Council,6/16/2020,06:30:00,96058,53704,6/16/2020 15:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3203
43396,Common Council,6/16/2020,06:30:00,96059,53716,6/16/2020 15:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3204
43396,Common Council,6/16/2020,06:30:00,96060,53716,6/16/2020 15:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3205
43396,Common Council,6/16/2020,06:30:00,96061,53703,6/16/2020 15:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3206
43396,Common Council,6/16/2020,06:30:00,96062,53703,6/16/2020 15:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3207
43396,Common Council,6/16/2020,06:30:00,96063,53715,6/16/2020 15:09,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3208
43396,Common Council,6/16/2020,06:30:00,96072,53715,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3209
43396,Common Council,6/16/2020,06:30:00,96073,53715,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3210
43396,Common Council,6/16/2020,06:30:00,96074,53715,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3211
43396,Common Council,6/16/2020,06:30:00,96075,53703,6/16/2020 15:10,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3212
43396,Common Council,6/16/2020,06:30:00,96076,53703,6/16/2020 15:11,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3213
43396,Common Council,6/16/2020,06:30:00,96065,53711,6/16/2020 15:09,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3214
43396,Common Council,6/16/2020,06:30:00,96078,53719,6/16/2020 15:11,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"Yes, I want to speak.",3215
43396,Common Council,6/16/2020,06:30:00,96079,53704,6/16/2020 15:11,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3216
43396,Common Council,6/16/2020,06:30:00,96085,53704,6/16/2020 15:12,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3217
43396,Common Council,6/16/2020,06:30:00,96087,53703,6/16/2020 15:13,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3218
43396,Common Council,6/16/2020,06:30:00,96088,53715,6/16/2020 15:13,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3219
43396,Common Council,6/16/2020,06:30:00,96083,53711,6/16/2020 15:12,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3220
43396,Common Council,6/16/2020,06:30:00,96067,53703,6/16/2020 15:09,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3221
43396,Common Council,6/16/2020,06:30:00,96081,53703,6/16/2020 15:12,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3222
43396,Common Council,6/16/2020,06:30:00,96098,53551,6/16/2020 15:14,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3223
43396,Common Council,6/16/2020,06:30:00,96099,53703,6/16/2020 15:15,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"I do not want to speak, but I am available to answer questions.",3224
43396,Common Council,6/16/2020,06:30:00,96100,53704,6/16/2020 15:15,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3225
43396,Common Council,6/16/2020,06:30:00,96101,53704,6/16/2020 15:15,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3226
43396,Common Council,6/16/2020,06:30:00,96102,53717,6/16/2020 15:15,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3227
43396,Common Council,6/16/2020,06:30:00,96103,53703,6/16/2020 15:15,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3228
43396,Common Council,6/16/2020,06:30:00,96092,53704,6/16/2020 15:13,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3229
43396,Common Council,6/16/2020,06:30:00,96094,53703,6/16/2020 15:14,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3230
43396,Common Council,6/16/2020,06:30:00,96095,53711,6/16/2020 15:14,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3231
43396,Common Council,6/16/2020,06:30:00,94435,53703,6/15/2020 11:35,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3232
43396,Common Council,6/16/2020,06:30:00,94444,53705,6/15/2020 12:01,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3233
43396,Common Council,6/16/2020,06:30:00,94372,53703,6/15/2020 9:24,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3234
43396,Common Council,6/16/2020,06:30:00,94256,53711,6/14/2020 14:47,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3235
43396,Common Council,6/16/2020,06:30:00,94260,53705,6/14/2020 15:30,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3236
43396,Common Council,6/16/2020,06:30:00,94261,53705,6/14/2020 15:30,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3237
43396,Common Council,6/16/2020,06:30:00,94242,53703,6/14/2020 13:09,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3238
43396,Common Council,6/16/2020,06:30:00,94248,53719,6/14/2020 14:08,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3239
43396,Common Council,6/16/2020,06:30:00,94233,53719,6/14/2020 12:42,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3240
43396,Common Council,6/16/2020,06:30:00,94281,53714,6/14/2020 18:13,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3241
43396,Common Council,6/16/2020,06:30:00,94273,53705,6/14/2020 16:41,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3242
43396,Common Council,6/16/2020,06:30:00,94287,53704,6/14/2020 19:19,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3243
43396,Common Council,6/16/2020,06:30:00,94302,53716,6/14/2020 21:35,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3244
43396,Common Council,6/16/2020,06:30:00,94323,53558,6/15/2020 7:19,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Support,"No, I do not want to speak.",3245
43396,Common Council,6/16/2020,06:30:00,94307,53705,6/14/2020 23:00,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3246
43396,Common Council,6/16/2020,06:30:00,94331,53713,6/15/2020 8:12,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3247
43396,Common Council,6/16/2020,06:30:00,94481,53703,6/15/2020 14:04,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3248
43396,Common Council,6/16/2020,06:30:00,94468,53704,6/15/2020 13:04,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3249
43396,Common Council,6/16/2020,06:30:00,94506,53715,6/15/2020 15:03,41,"Amending the Police Department�s 2020 Capital Budget to transfer up to
$125,000 in general obligation borrowing authority from the Midtown District
Station Project to capital projects authorizing the purchase and installation of a
generator at the East District Station and to expand the capacity of an existing
capital project, the Police Intervention Equipment project",Oppose,"No, I do not want to speak.",3250
